name,current_price_per_night,average_rating,total_reviews_received,address,lat,lng,reviewer_nationality,rating,review_title,review
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,Los Angeles  California,4,Reasonable Choice,Was in Helsinki busy weekday in September and most hotels were sold out. Had to book this Hilton in Hakaniemi (just outside of the city center). The hotel ended up sold out as well and got an upgrade to the presidential suite based on my.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,London  United Kingdom,5,Excellent stay!,On a girls weekend to Helsinki we stayed in a twin executed room. The hotel is only a 10 minute walk from the centre and was super easy to find. Staff were friendly and gave us recommendations on where to eat and we were happy.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,,5,Recommend ,Good location.Easy to get from airport by bus-30 min and 5 euro) Cathedral is 4 min by step.Breakfast is good and varied.We had room with lounge service included...good place to drink soft drinks with snack during all day and to have some wine whisky and etc.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,Kettering,5,Great quality hotel in a good location,Stayed here one night in a junior suite using hhonors points - great hotel inside  rooms newly refurbished and well appointed - bed was in middle of room pointing out to window over the harbour. Breakfast range was very good - great location hotel too.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,Vierlingsbeek  The Netherlands,5,Great hotel when in Helsinki,Stayed at the Hilton Strand for a night in september  when travelling for business. Highly recommendable hotel  great quality and reception. Had breakfast as well  which was great compared to other h
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,Uusimaa  Finland,4,Almost as good as a Hilton should be,I liked the Hotel  as it was nicely situated close to the center. We had a nice view from our room to the water. An extra nice surprice was the candy laid on our bed  as I told them beforehand it was our 15 years.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,Los Angeles  CA,5,Great location  fabulous breakfast  small Exec Lounge,We stayed here for 3 days in late July using points. We are gold members and the hotel upgraded us to an executive room with a lovely water view. The executive club had free drinks from 5-9pm which meant it was packed the entire time.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,,4,Nice hotel - good location ,A bit of an expensive hotel  but for the centre of Helsinki what do you expect? Check in was nice and easy and a room on a high floor as requested was given. Room size was adequate  free wifi and a work desk available. Be.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,,5,Perfect "after work- girls night out"- hotel stay,This was my third visit to this hotel. We booked a room for three persons and the room included the executive lounge services. Because of tight work schedules and family life we wanted to spend some relaxing quality time together with old friends. This was.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,Bangkok  Thailand,5,Nice place to stay in Helsinki,As I stay for 6 nights in this hotel  it is excellent in its location  just only 3-5 min walking to the tram and bus station (public transportation) and only 15 min walking to the city center and central train station. It has a nice.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,Fresno  California,4,Nice Hotel  small rooms,I refer to the rooms as small  compared to other Hiltons I have stayed in in Europe (the Stockholm Slussen being the exception). But that is the only negative thing I can say. The breakfast buffet may be the best I have seen while traveling..
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,Nottingham  United Kingdom,4,Pleasant stay,My daughter and I stayed at The Hilton Strand for four nights. The room was clean modern and quiet. The seaside location is pleasant and the walk into the centre of the city takes about 10 mins. Breakfast is very like every other Hilton I.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,Santa Fe  New Mexico,5,A TEN STAR STAY!,My husband I and recently stayed eight nights at the Hilton Strand in Helsinki. We both agree that our time in this hotel was the best of our entire lives. Let me count the ways: Upon our arrival  our bags were taken to our room..
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,India,5,A great stay!,After 10 days of hostel living in Iceland  we were so glad to arrive at the Hilton Strand. The rooms were spacious  the breakfast spread was generous  the premises were conveniently located from the touristic spots  and the staff was extremely accommodating with our requests.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,Reading  United Kingdom,4,Good but could be better,We enjoyed a 3 night stay over the August bank holiday weekend. Check in was perfunctory but unfriendly. We only got a city map when we requested one. Our room was 724  which we had chosen on the app where we checked in online. This.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,Mannheim  Germany,5,Great hotel!,I enjoyed my stay at the Hilton Strand. The hotel has a lovely restaurant  great food  very friendly and accommodating staff. The rooms are spacious  bathrooms are renovated and the rest is like in every Hilton. Absolutely worth staying at this hotel while in Helsink
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,cagliari,3,Experiment choice.,I use  before my trips  to look for hotels to stay  on my p.c. then give the nominees to my usual travel agency (they are better than me in finding the cheapest rates and  of course  giving some advices). For the trip to Helsinki I.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,San Francisco  CA,5,Comfortable  recently renovated hotel featuring friendly service and excellent Hilton Honors recognition!,During our week in Finland  we spent a comfortable night at the Hilton Strand and found the service to be friendly  our room comfortable  and the Hilton Honors recognition excellent. While located just outside of the city center  the Strand is extremely convenient with close.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,Portsmouth  New Hampshire,5,Hilton Helsinki Strand August 2017,Very nice location on the water  quiet but very central to the city and transportation. Breakfast was very good and quick. Room was very nice and quiet. Housekeeping was as good as I have seen. Staff was quite attentiv
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,Delhi,4,Nice Stay!,Nice hotel within walking distance of main tourist sites. There was a little street noise filtering into our room at night. We didn't enjoy the breakfast as there wasn't much choice for vegetarians. Hotel staff was helpful and welcomin
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,Melbourne  Australia,5,Excellent,We stayed for two nights at the Strand and would have no hesitation in booking again next time we are in Helsinki. The staff were very helpful and can't be faulted on their excellent service. The hotel's location means it is an easy stroll to.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,Northern Ireland  United Kingdom,5,Martin  Cara and I ,Martin  Cara and I The facilities and service are excellent The location is by the sea and convenient The amazing breakfast gives hunger a dent The lovely staff are heaven sent This hotel is money well spent
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,,5,Good ,The hotel is excellent The most wonderful accommodation The terrible Shi Awesome workers Awesome service Mo beautiful terrible The most beautiful Sheiket of Hilton Hotels in Europe Hilton Strand Shukran Hilt
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,Hershey  Pennsylvania,5,Great stay  great staff  great Location!,We stayed for 3 nights in August  2017. We had a wonderful stay in a beautiful room with a great view! The staff was very helpful and accommodating; housekeeping  front desk  restaurant  all. Everything was excellent! Little things like room darkening shades  many USB charging.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,Turku  Finland,5,Business class,Stayed here whilst on business in the city. I found the hotel bar to quite vibrant and friendly  and quite easy to strike up a conversation with other guests. The hotel provides ample parking provision and offers small meeting rooms at reasonable rates. Room were.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,Holt  Michigan  United States,5,AAA experience with Finnish flair,Stay in Helsinki made more enjoyable by top notch hotel stay @ Hilton Strand. Courteous and professional staff in beautiful facility within walking distance of Helsinki downtown sights and shopping. Hotels don't come any cleaner than thi
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,Oulu  Finland,5,Excellent value and nice views,Prebooked with an early bird discount  therefore it was excellent value. Big and clean rooms. Located close enough the city center (900m from the main railway station). Nice views from the upper floors  especially during the sunny days. Hakaniemi square close by with lots of.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,New York City  New York,4,My favorite transit hotel in Helsinki,I fly through Helsinki a lot  and this is my favorite transit hotel when I have more than just a few hours of layover (in which case I'd stay at Hilton Helsinki Airport). Here are what I like about the hotel: * Though it's not.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,Reading  United Kingdom,5,Excellent staty,This is a great hotel. We had two rooms  as a family. Ours were overlooking the back of the hotel  with sea views. It was quiet for the entire stay  despite being busy in the hotel  excellent sound proofing. The rooms were modern  clean.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,Tauranga  New Zealand,4,Great location,Great location on the water about 15 min walk to cathedral and restaurant district. Good size rooms kept clean. Awesome bar for evening. Good value for money. Breakfast was decent. Overall good value for 
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,Rotterdam  The Netherlands,5,Great stay!,For me as a frequent traveler  hygiene is top priority. This Hilton hotel is one of the cleanest Hiltons I have stayed in. My compliments to the staff and management. Rooms are of decent size  only the bed was a little bit too small  but.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,London  United Kingdom,4,GREAT HILTON IS PERFECT LOCATION OVERLOOKING SEA,The location of this hotel is perfect. Many rooms overlook the water which makes for a relaxing environment. The breakfasts are great and the staff are generally very friendly. Rooms are great - we had the Presidential Suite so I guess you don't get much.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,Houston  United States,5,Perfect Location,From the online check in to the welcome we received when we arrived very late  we always felt comfortable and well taken care of. Friendly staff and the locations is superb! It was a great place also to entertain some business associates in the well-appointed.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,CT,5,Hotel nirvana,I would heartily give a 6 star rating to this phenomenal hotel. Not only is the waterfront location prime (and peaceful)  the hotel had outstanding amenities  such as its lovely pool and bountiful and delicious breakfast buffet. Numerous choices of the freshest fruits  delicious pastries.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,Shanghai  China,5,Nice hotel with view of harbour,Stayed at Hilton form 6 night overall. Spent 3 in standard room and 3 in Executive room. Both have views of harbour but Ex room has better decor. Club room provided reasonable food and service. Can catch tram into City. Best to buy day pass.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,Shanghai Region  China,5,Great experience.,This is the best Hilton I have ever stayed. The services  foods  rooms are all just magnificent! The staffs are enthusiastic  I arrived about 1:00am  and the front desk staffs are still enthusiastic and they upgraded our room to a suite. The view is nice .
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,Greater London  United Kingdom,5,Excellent stay - fab location,I loved this hotel - the fittings are luxurious  the food in the exec lounge and breakfast buffet is very tasty and the staff are very kind. Get a sea view room if you can - it made our stay considerably more delightful 
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,Fort Worth,5,Great lodging option in Helsinki,Hotel is centrally located in walking distance from the major attractions  hop on hop off buses and the market port where the tourist boats depart. From the airport to the hotel takes 20-25 min depending on trafic. Rooms are very clean  breakfast is decent and.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,Dublin  Ireland,4,Nice location and breakfast ,The hotel is located is nicely located at the water front just 15 minutes walk from the city centre and 20 minutes taxi ride to the business in Espoo. There us also a supermarket/ drug store around the corner. Check-in was easily done via the.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,Lugano,3,Central location   nice rooms,This hotel is centrally located and has received a nice facelift inside after its recent renovation. The staff was not particularly friendly at check-in and did not acknowldge HH members. The Exec Lounge was  during our stay  neglected. Very nice breakfast selection except for the.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,San Francisco  California,3,Average,Not enough value for the price. Nice view from room but that's about it. Room had mosquitos which did a number on my body. Restaurant had well prepared food but too heavy on salts for broth. Price was in line with Hotel Kamp so next.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,London  United Kingdom,4,A reasonable hotel in a pleasant location,Despite arriving shortly after midnight I decided to walk to the hotel  from the central station  to get some fresh air. It only took 15 minutes. I was welcomed by name  being the last arrival of the day  and was in my room in no.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,berlin  Germany,5,very comfortable and convenient.,I often stay in this Hilton Helsinki Strand  and always enjoying the stay. good location  clean room  nice staffs and good variety of breakfast. I highly recommend here and I will do choose here again when I come back to Hel
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,Sydney  Australia,5,Six Stars for this Hotel,I just realised I have not done a review of this excellent hotel where we stayed in late 2016 and early 2017. So here goes... My husband being a member of HHonors enabled us to pick our room even before we have checked in. Our.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,Oslo  Norway,5,Wonderful hotel in a wonderful city!,The hotel is beautifully located by a canal and facing the sea. It's within walking distance of bus stops  metro and railway station so there's no problem getting comfortably to and from the airport. You can also have a nice stroll along the seaside to.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,,5,Great Hotel with a nice sea view,I m pretty satisfied as a hilton member they let me check in early at 10.30am   room is pretty big with a nice sea view though the interior bit old but I feel welcome  location is good   2 tram stops away from Train.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,Wailea  Hawaii,5,Hilton Helsinki Strand is very Grand!,The location of Hilton Helsinki Strand could not have been better! We stayed here for 6 nights and we walked to the Kauppatori every morning. Your day begins with the lavish breakfast that they have set up at the Lobby Level restaurant. The breakfast starts.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,springfield  United States,5,great hotel in helsinki,we have stayed here many time and highly recommend it - great location and view over water from many rooms -- friendly staff -- recent renovations made it even better -- also have great breakfast and executive lounge has lovely view and great food and.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,Australia,4,Great stay,We stayed 2 nights at the Hilton Helsinki Strand - about 10 to 15 mins walk to the city. As diamond we got upgraded to a deluxe room on the executive lounge floor with views over the water in front of the hotel. The room.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,Helsinki  Finland,4,owesome,The hotel location is very good. fronting the sea and with bright sun. location to business meeting is near and good to walk. Overall hotel service is very good and staff of the hotel are efficient and polite. always helpful in exchanging small denomination and.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,London  United Kingdom,5,Diligent service in a comfortable hotel with an ideal location,We booked a quick weekend break to Helsinki with British Airways  and the Hilton was one of the hotel options we were given. We chose it on the basis of its location  and good reviews from previous guests. It's extremely easy to get to; having.
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,Reykjvk  Iceland,5,Would stay there again,Great location  great breakfast. Friendly and helpful staff. Rooms clean and comfortable beds. Good value for price payed. Lovely hotel  our room had a beautiful view over the harbour. Would stay there 
Hilton Helsinki Strand,167,4.5,695,John Stenbergin ranta 4 Helsinki 00530  Finland,60.1772,24.951494,,5,I will be back again.,A great hotel in an outstanding location. Be sure and get a city view room if possible. Staff was amazing and the facility was incredible as well. Without a doubt one of the best Hilton properties that I have seen in all my travels over.
